hour,minute,color,type,dest,rem
5,54,express,にちりん2,大分,
6,1,,,延岡,
6,10,,,延岡,
6,35,,,高鍋,
6,58,express,にちりん4,大分,
7,4,,,延岡,
7,37,,,高鍋,
7,59,,,宮崎神宮,
8,10,express,にちりん6,大分,
8,25,,,延岡,
8,47,,,佐土原,
9,34,,,延岡,
10,29,express,にちりん8,大分,
10,59,,,延岡,
11,39,express,ひゅうが2,延岡,
11,51,express,36ぷらす3,別府,※2
11,57,,,延岡,
12,25,express,にちりん10,大分,
13,31,express,ひゅうが4,延岡,
13,46,,,延岡,
14,36,express,にちりん12,大分,
14,51,,,延岡,
15,19,,,日向新富,
15,36,express,ひゅうが6,延岡,
15,44,,,延岡,
16,15,,,日向新富,
16,37,express,にちりんシーガイア14,博多,
16,44,,,高鍋,
16,57,,,延岡,
17,30,express,にちりん16,小倉,
17,47,,,延岡,
18,17,,,日向新富,
18,33,express,ひゅうが8,延岡,
19,00,,,延岡,
19,35,express,ひゅうが10,延岡,
19,49,,,延岡,
20,34,express,ひゅうが12,延岡,
20,59,,,延岡,
21,35,express,ひゅうが14,延岡,
21,58,,,延岡,
22,42,express,ひゅうが16,延岡,
22,53,,,延岡,
23,30,,,高鍋,
