hour,minute,color,type,dest,rem
5,54,express,にちりん2,大分,
6,2,,,延岡,
6,11,,,延岡,
6,32,,,高鍋,
6,58,express,にちりん4,大分,
7,11,,,延岡,
7,37,,,佐土原,※1
8,5,express,にちりん6,大分,
8,14,,,宮崎神宮,
8,32,,,佐土原,
8,45,,,延岡,
9,36,express,にちりん8,大分,
9,55,,,延岡,
10,30,express,にちりん10,大分,
10,57,,,延岡,
11,35,express,にちりん12,大分,
11,50,,,延岡,
12,26,express,にちりん14,大分,
13,30,express,にちりん16,大分,
13,46,,,延岡,
14,33,express,にちりん18,大分,
14,48,,,延岡,
15,15,,,佐土原,※1
15,35,express,にちりんシーガイア20,博多,
15,41,,,延岡,
16,2,,,佐土原,※1
16,37,express,にちりん22,大分,
16,42,,,延岡,
17,4,,,高鍋,
17,31,express,にちりんシーガイア24,博多,
17,46,,,延岡,
18,1,express,ひゅうが2,延岡,
18,23,,,佐土原,
18,41,express,ひゅうが4,延岡,
18,54,,,延岡,
19,24,,,延岡,
19,44,express,ひゅうが6,延岡,
20,17,,,延岡,
20,41,express,ひゅうが8,延岡,
20,56,,,延岡,
21,30,express,ひゅうが10,延岡,
21,48,,,延岡,
22,36,express,ひゅうが12,延岡,
23,9,,,延岡,
23,49,express,ひゅうが14,延岡,
