hour,minute,color,type,dest,rem
5,55,express,にちりん2,大分,
6,2,,,延岡,
6,12,,,延岡,
6,32,,,高鍋,
6,58,express,にちりん4,大分,
7,14,,,延岡,
7,38,,,佐土原,※1
8,6,express,にちりん6,大分,
8,14,,,宮崎神宮,
8,33,,,佐土原,
8,47,,,延岡,
9,36,express,にちりん8,大分,
9,55,,,延岡,
10,31,express,にちりん10,大分,
10,58,,,延岡,
11,36,express,にちりん12,大分,
11,50,,,延岡,
12,28,express,にちりん14,大分,
13,31,express,にちりん16,大分,
13,47,,,延岡,
14,33,express,にちりん18,大分,
14,49,,,延岡,
15,15,,,佐土原,※1
15,35,express,にちりんシーガイア20,博多,
15,42,,,延岡,
16,2,,,佐土原,※1
16,37,express,にちりん22,大分,
16,42,,,延岡,
17,4,,,高鍋,
17,31,express,にちりんシーガイア24,博多,
17,44,,,延岡,
18,4,express,ひゅうが2,延岡,
18,22,,,佐土原,
18,42,express,ひゅうが4,延岡,
18,55,,,延岡,
19,25,,,延岡,
19,44,express,ひゅうが6,延岡,
20,17,,,延岡,
20,40,express,ひゅうが8,延岡,
20,51,,,延岡,
21,31,express,ひゅうが10,延岡,
21,47,,,延岡,
22,35,express,ひゅうが12,延岡,
23,8,,,延岡,
23,49,express,ひゅうが14,延岡,
